"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
497617,3,,3,,89,,3,,85,,4,,84,,3,,81,,75,,147,,27,,
497621,3,11,2,11,82,11,3,11,83,11,2,11,70,11,3,11,85,11,77,11,42,11,20,11,11
497623,4,,4,,91,,4,,87,,4,,84,,4,,91,,79,,236,,31,,
497625,4,,4,,90,,4,,86,,3,,77,,3,,85,,78,,244,,20,,
497626,Not Available,11,Not Available,11,89,11,Not Available,11,83,11,Not Available,11,63,11,Not Available,11,87,11,72,11,13,11,11,11,11
497631,Not Available,9,Not Available,9,87,9,Not Available,9,89,9,Not Available,9,99,9,Not Available,9,83,9,100,9,7,9,17,9,9
497636,1,,1,,73,,1,,68,,1,,51,,1,,64,,48,,208,,16,,
497638,1,11,1,11,73,11,1,11,69,11,1,11,60,11,1,11,62,11,62,11,50,11,16,11,11
497640,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497642,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497643,4,,4,,91,,5,,90,,3,,83,,4,,90,,89,,419,,32,,
497644,4,,4,,88,,4,,86,,3,,80,,4,,89,,76,,322,,30,,
497646,4,,4,,92,,5,,89,,3,,81,,4,,88,,84,,326,,26,,
497649,Not Available,11,Not Available,11,79,11,Not Available,11,73,11,Not Available,11,64,11,Not Available,11,82,11,57,11,17,11,8,11,11
497650,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497653,4,,4,,89,,5,,87,,3,,81,,4,,89,,80,,256,,29,,
497654,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497656,4,11,5,11,93,11,5,11,91,11,3,11,81,11,4,11,86,11,81,11,50,11,21,11,11
497661,Not Available,9,Not Available,9,79,9,Not Available,9,74,9,Not Available,9,85,9,Not Available,9,71,9,45,9,5,9,45,9,9
497662,3,,2,,84,,3,,81,,2,,69,,3,,78,,75,,196,,26,,
497663,5,11,5,11,97,11,5,11,95,11,5,11,90,11,5,11,93,11,88,11,58,11,31,11,11
497665,5,11,5,11,95,11,5,11,93,11,4,11,84,11,5,11,98,11,95,11,58,11,30,11,11
497666,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497668,4,,4,,90,,4,,87,,3,,79,,3,,86,,79,,110,,28,,
497669,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497673,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497674,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497675,4,,4,,91,,4,,89,,3,,83,,4,,89,,81,,189,,23,,
497677,2,,2,,82,,2,,79,,3,,77,,1,,69,,62,,167,,26,,
497678,3,,2,,82,,3,,81,,3,,77,,2,,78,,68,,256,,23,,
497682,3,,2,,85,,3,,81,,3,,82,,3,,84,,76,,185,,28,,
497683,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497685,2,11,2,11,86,11,1,11,77,11,2,11,68,11,1,11,77,11,63,11,52,11,15,11,11
497688,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497689,Not Available,11,Not Available,11,89,11,Not Available,11,97,11,Not Available,11,95,11,Not Available,11,73,11,89,11,14,11,29,11,11
497690,Not Available,11,Not Available,11,83,11,Not Available,11,79,11,Not Available,11,81,11,Not Available,11,74,11,52,11,22,11,7,11,11
497692,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497694,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497695,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497699,2,,2,,84,,3,,84,,1,,63,,2,,76,,60,,95,,21,,
497700,Not Available,11,Not Available,11,82,11,Not Available,11,75,11,Not Available,11,66,11,Not Available,11,81,11,69,11,34,11,25,11,11
497701,2,11,2,11,84,11,2,11,81,11,2,11,74,11,2,11,84,11,72,11,43,11,45,11,11
497702,3,11,3,11,87,11,3,11,83,11,3,11,78,11,2,11,73,11,77,11,61,11,26,11,11
497703,4,,4,,89,,5,,87,,3,,80,,3,,84,,78,,205,,20,,
497706,3,,3,,87,,4,,86,,3,,82,,3,,83,,76,,401,,22,,
497709,Not Available,11,Not Available,11,90,11,Not Available,11,69,11,Not Available,11,47,11,Not Available,11,63,11,76,11,29,11,14,11,11
497712,3,,4,,91,,4,,83,,2,,75,,3,,85,,82,,106,,23,,
497713,5,,5,,94,,5,,94,,4,,84,,5,,95,,93,,228,,34,,
497714,3,,3,,88,,3,,83,,2,,72,,2,,78,,73,,212,,22,,
497715,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497719,1,11,1,11,69,11,1,11,69,11,1,11,53,11,1,11,60,11,50,11,51,11,14,11,11
497720,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497721,Not Available,11,Not Available,11,74,11,Not Available,11,75,11,Not Available,11,57,11,Not Available,11,74,11,59,11,33,11,22,11,11
497722,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497724,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497725,4,,4,,90,,5,,90,,4,,84,,4,,90,,83,,92,,23,,
497727,5,,4,,90,,5,,88,,4,,88,,5,,93,,91,,71,,24,,
497728,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497729,Not Available,11,Not Available,11,78,11,Not Available,11,94,11,Not Available,11,83,11,Not Available,11,67,11,65,11,11,11,26,11,11
497730,2,,2,,83,,2,,77,,1,,65,,1,,71,,67,,114,,7,,
497732,Not Available,9,Not Available,9,68,9,Not Available,9,75,9,Not Available,9,59,9,Not Available,9,74,9,74,9,7,9,19,9,9
497733,3,,3,,88,,3,,82,,3,,78,,4,,88,,76,,89,,36,,
497734,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497735,Not Available,11,Not Available,11,86,11,Not Available,11,86,11,Not Available,11,84,11,Not Available,11,91,11,86,11,37,11,22,11,11
497736,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497737,4,,5,,93,,4,,85,,3,,76,,4,,91,,89,,140,,42,,
497739,3,11,3,11,87,11,3,11,85,11,3,11,79,11,4,11,88,11,85,11,50,11,12,11,11
497740,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497743,4,,3,,90,,5,,89,,2,,72,,4,,86,,78,,79,,28,,
497744,4,,3,,87,,4,,83,,4,,88,,4,,89,,80,,76,,17,,
497745,Not Available,11,Not Available,11,71,11,Not Available,11,61,11,Not Available,11,62,11,Not Available,11,58,11,57,11,22,11,15,11,11
497746,4,,4,,90,,4,,86,,4,,84,,4,,87,,82,,226,,25,,
497747,3,,3,,87,,4,,84,,3,,78,,3,,82,,78,,304,,23,,
497748,4,,4,,89,,4,,87,,3,,82,,4,,89,,82,,317,,27,,
497749,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497750,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497751,1,,1,,71,,1,,68,,2,,68,,1,,67,,53,,80,,23,,
497752,4,,4,,90,,5,,87,,2,,74,,4,,86,,81,,214,,37,,
497754,Not Available,9,Not Available,9,77,9,Not Available,9,77,9,Not Available,9,87,9,Not Available,9,100,9,100,9,1,9,8,9,9
497755,5,11,5,11,95,11,5,11,97,11,3,11,82,11,5,11,97,11,91,11,45,11,28,11,11
497756,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497757,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497758,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497759,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497760,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497761,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497762,1,,1,,80,,2,,75,,1,,66,,1,,68,,57,,137,,28,,
497763,5,11,5,11,95,11,5,11,91,11,5,11,91,11,5,11,99,11,98,11,60,11,37,11,11
497766,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497767,Not Available,11,Not Available,11,95,11,Not Available,11,97,11,Not Available,11,81,11,Not Available,11,92,11,96,11,14,11,31,11,11
497768,Not Available,11,Not Available,11,95,11,Not Available,11,94,11,Not Available,11,86,11,Not Available,11,95,11,93,11,39,11,31,11,11
497769,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497770,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497771,Not Available,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,69,11,Not Available,11,74,11,63,11,16,11,18,11,11
497772,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497773,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497774,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497775,4,,4,,90,,4,,86,,3,,81,,3,,86,,77,,269,,29,,
497776,Not Available,11,Not Available,11,90,11,Not Available,11,81,11,Not Available,11,71,11,Not Available,11,67,11,68,11,29,11,27,11,11
497777,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497778,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497779,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497780,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497781,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497782,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497783,5,11,5,11,93,11,5,11,89,11,5,11,91,11,3,11,79,11,79,11,41,11,22,11,11
497784,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497785,Not Available,11,Not Available,11,96,11,Not Available,11,88,11,Not Available,11,74,11,Not Available,11,78,11,71,11,11,11,21,11,11
497786,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497787,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497788,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497789,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497790,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497791,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497792,3,,3,,85,,2,,81,,3,,80,,2,,79,,71,,161,,21,,
497793,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497794,3,10,3,10,87,10,4,10,88,10,2,10,70,10,3,10,83,10,78,10,82,10,21,10,10
497795,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497796,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497797,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497798,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497799,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497800,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497801,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497802,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497803,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507004,4,,4,,90,,4,,85,,3,,82,,3,,85,,81,,406,,23,,
507007,4,,4,,90,,4,,87,,4,,84,,3,,83,,74,,682,,27,,
507010,3,,3,,85,,3,,82,,2,,73,,2,,79,,72,,298,,22,,
507019,4,,4,,90,,5,,89,,3,,82,,4,,87,,82,,660,,26,,
507020,3,,3,,85,,3,,83,,2,,73,,2,,79,,74,,278,,23,,
507021,3,,3,,87,,3,,83,,3,,78,,2,,81,,77,,376,,24,,
507028,4,,4,,87,,4,,86,,3,,77,,4,,88,,81,,140,,22,,
507029,4,,4,,90,,5,,88,,4,,87,,3,,86,,83,,278,,29,,
507031,3,,3,,86,,3,,84,,3,,77,,3,,81,,75,,278,,20,,
507034,3,,3,,86,,3,,82,,4,,85,,2,,81,,77,,280,,28,,
507038,3,,2,,84,,4,,86,,3,,83,,3,,83,,76,,75,,21,,
507040,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507042,3,,3,,87,,4,,85,,3,,80,,3,,81,,78,,817,,29,,
507043,3,11,3,11,86,11,3,11,83,11,3,11,76,11,1,11,69,11,72,11,48,11,20,11,11
507044,4,,5,,92,,5,,88,,4,,85,,3,,85,,83,,157,,29,,
507046,3,,3,,87,,3,,81,,3,,82,,3,,83,,83,,352,,25,,
507048,4,,4,,88,,4,,85,,4,,85,,3,,83,,82,,188,,29,,
507050,4,,4,,91,,4,,88,,4,,84,,5,,91,,91,,137,,27,,
507052,Not Available,11,Not Available,11,76,11,Not Available,11,67,11,Not Available,11,75,11,Not Available,11,80,11,87,11,13,11,17,11,11
507061,3,,3,,88,,4,,87,,3,,80,,3,,83,,78,,178,,23,,
507064,3,,3,,87,,3,,82,,3,,77,,3,,83,,74,,574,,24,,
507065,4,,4,,91,,5,,88,,3,,82,,4,,89,,84,,572,,22,,
507068,3,,3,,86,,3,,81,,3,,77,,3,,84,,76,,597,,18,,
507071,4,,5,,94,,4,,87,,3,,82,,5,,92,,85,,108,,22,,
507072,4,,4,,91,,5,,89,,3,,79,,4,,88,,84,,501,,37,,
507075,4,,4,,88,,5,,88,,3,,76,,3,,84,,75,,179,,24,,
507076,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507079,4,,4,,90,,4,,85,,3,,82,,3,,87,,81,,1657,,20,,
507081,2,,2,,85,,3,,83,,2,,74,,2,,75,,74,,336,,22,,
507082,3,,3,,88,,4,,85,,2,,72,,3,,83,,76,,305,,22,,
507084,2,,3,,86,,3,,79,,2,,70,,1,,77,,70,,71,,19,,
507089,3,,3,,88,,3,,82,,4,,84,,3,,82,,67,,208,,21,,
507092,3,,3,,87,,4,,85,,1,,66,,3,,83,,72,,148,,29,,
507095,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507097,4,,4,,90,,4,,86,,3,,82,,3,,84,,80,,73,,25,,
507099,2,,2,,84,,2,,81,,3,,76,,1,,73,,66,,641,,18,,
507100,2,,2,,84,,2,,81,,3,,76,,2,,75,,68,,322,,24,,
507101,4,,4,,90,,4,,87,,3,,81,,3,,87,,79,,319,,22,,
507102,3,,3,,89,,4,,87,,2,,75,,3,,82,,74,,188,,24,,
507105,4,,4,,90,,4,,86,,3,,79,,3,,84,,81,,347,,32,,
507106,3,,3,,87,,3,,83,,3,,80,,3,,80,,74,,317,,26,,
507107,3,,3,,87,,4,,85,,2,,72,,3,,82,,76,,372,,21,,
507108,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507109,4,11,4,11,90,11,5,11,90,11,5,11,90,11,3,11,90,11,86,11,58,11,26,11,11
507110,3,,3,,88,,3,,85,,3,,82,,3,,81,,80,,414,,28,,
507111,4,,4,,89,,4,,86,,3,,79,,3,,84,,81,,351,,32,,
507113,3,11,3,11,86,11,3,11,81,11,3,11,78,11,3,11,76,11,78,11,64,11,27,11,11
507115,4,,4,,91,,4,,87,,3,,83,,4,,89,,87,,225,,27,,
507116,4,,4,,90,,4,,88,,3,,79,,3,,84,,84,,224,,25,,
507117,Not Available,11,Not Available,11,93,11,Not Available,11,90,11,Not Available,11,80,11,Not Available,11,81,11,69,11,36,11,28,11,11
507118,2,11,2,11,83,11,3,11,78,11,2,11,75,11,2,11,82,11,81,11,63,11,28,11,11
507119,4,,4,,90,,5,,88,,3,,79,,3,,84,,80,,319,,29,,
507121,4,,4,,90,,5,,89,,2,,75,,3,,84,,80,,199,,21,,
507122,3,,3,,88,,4,,85,,3,,79,,3,,79,,77,,106,,22,,
507123,2,,2,,84,,4,,84,,2,,73,,1,,72,,63,,93,,23,,
507124,4,,3,,88,,4,,87,,4,,85,,3,,82,,78,,383,,26,,
507125,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507126,Not Available,11,Not Available,11,89,11,Not Available,11,84,11,Not Available,11,66,11,Not Available,11,76,11,68,11,24,11,22,11,11
507127,3,,2,,85,,4,,86,,3,,78,,2,,83,,70,,88,,19,,
507128,3,,3,,88,,3,,82,,2,,74,,2,,77,,72,,116,,22,,
507129,4,,4,,90,,3,,84,,3,,83,,4,,87,,83,,158,,23,,
507130,4,,4,,91,,4,,86,,3,,81,,4,,86,,81,,289,,25,,
507131,2,11,3,11,85,11,2,11,80,11,2,11,71,11,2,11,80,11,65,11,46,11,19,11,11
507132,3,,3,,87,,3,,82,,3,,78,,3,,84,,77,,215,,25,,
507133,3,,4,,89,,5,,90,,2,,71,,2,,84,,76,,286,,25,,
507134,3,11,2,11,81,11,4,11,83,11,3,11,77,11,1,11,68,11,77,11,66,11,34,11,11
507135,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507307,3,,4,,87,,3,,83,,3,,79,,3,,84,,76,,166,,33,,
507308,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
507309,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
517031,4,,4,,91,,5,,89,,3,,82,,4,,85,,83,,115,,38,,
517035,4,,4,,92,,5,,89,,4,,87,,4,,90,,87,,333,,35,,
517037,4,,4,,91,,5,,93,,4,,86,,4,,87,,86,,160,,33,,
517041,5,,5,,92,,5,,88,,4,,84,,4,,90,,84,,116,,28,,
517045,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
517048,4,,4,,90,,5,,88,,3,,83,,4,,87,,84,,350,,25,,
517051,4,,4,,91,,4,,87,,4,,87,,4,,87,,84,,334,,32,,
517053,4,,4,,92,,5,,90,,4,,84,,4,,90,,85,,2305,,30,,
517054,4,,4,,90,,5,,89,,4,,86,,3,,87,,84,,250,,22,,
517055,4,,4,,90,,5,,89,,3,,82,,4,,88,,83,,463,,26,,
517059,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
517060,4,,3,,90,,5,,89,,4,,87,,4,,87,,85,,97,,22,,
517069,4,,4,,90,,4,,86,,4,,86,,4,,89,,81,,139,,29,,
517071,5,,5,,93,,5,,92,,5,,90,,4,,89,,83,,162,,39,,
517074,4,,4,,93,,5,,92,,4,,84,,4,,87,,85,,354,,31,,
517075,5,,5,,93,,5,,90,,4,,85,,4,,92,,88,,586,,32,,
517076,5,,5,,93,,5,,92,,4,,89,,5,,93,,88,,117,,25,,
517081,3,,3,,85,,3,,84,,3,,81,,2,,78,,70,,226,,22,,
517082,Not Available,11,Not Available,11,92,11,Not Available,11,93,11,Not Available,11,89,11,Not Available,11,92,11,95,11,22,11,18,11,11
517086,4,,4,,91,,5,,89,,4,,87,,3,,87,,79,,130,,34,,
517087,4,,5,,93,,5,,88,,3,,81,,4,,89,,79,,151,,33,,
517092,3,,3,,89,,4,,88,,3,,80,,3,,82,,82,,238,,23,,
517097,3,,2,,86,,4,,86,,4,,86,,2,,82,,80,,136,,23,,
517098,3,11,3,11,91,11,2,11,80,11,4,11,87,11,2,11,80,11,76,11,40,11,20,11,11
517100,5,,5,,94,,5,,92,,4,,86,,5,,94,,90,,383,,35,,
517104,3,11,2,11,84,11,2,11,84,11,4,11,84,11,2,11,84,11,76,11,55,11,41,11,11
517114,4,,4,,90,,5,,92,,4,,88,,3,,85,,78,,168,,30,,
517115,4,,4,,90,,4,,88,,3,,80,,4,,87,,82,,321,,29,,
517118,5,,5,,93,,5,,90,,3,,81,,5,,92,,86,,362,,26,,
517120,5,,5,,95,,5,,92,,5,,93,,5,,92,,91,,107,,28,,
517122,4,,4,,91,,5,,91,,3,,82,,4,,88,,84,,308,,35,,
517125,4,,4,,92,,5,,91,,3,,81,,4,,89,,85,,304,,22,,
